pamixer 1.6-3
pandoc-bin 3.5-1
papirus-icon-theme 20240501-1
parallel 20240922-1
parted 3.6-2
paru 2.0.4-1
pass 1.7.4-5
pavucontrol 1:6.1-1
pcsx2 2.0.2-1
picom 12.3-2
pigz 2.8-2
pipewire-alsa 1:1.2.5-1
pipewire-jack 1:1.2.5-1
pipewire-pulse 1:1.2.5-1
pkgfile 22-1
playerctl 2.4.1-4
plocate 1.1.22-3
pnpm 9.12.2-1
polkit-gnome 0.105-11
poppler 24.09.0-4
power-profiles-daemon 0.23-1
preload 0.6.4-9
prettier 3.3.3-1
proton-ge-custom-bin 1:GE_Proton9_16-1
protonvpn-cli 3.13.0-3
python-aiodns 3.2.0-2
python-aiohttp 3.10.5-1
python-argcomplete 3.4.0-1
python-black 24.10.0-1
python-brotli 1.1.0-2
python-capstone 5.0.3-1
python-cbor2 5.6.5-1
python-certifi 2024.08.30-1
python-colorama 0.4.6-3
python-croniter 3.0.3-1
python-curio 1.6-4
python-dnspython 1:2.6.1-1
python-gevent 24.2.1-3
python-huggingface-hub 1:0.26.0-1
python-idna 3.8-1
python-internetarchive 4.1.0-1
python-mutagen 1.47.0-2
python-opentype-sanitizer 9.1.0-2
python-pillow 10.4.0-1
python-pip 24.2-1
python-pipenv 2024.1.0-1
python-pipx 1.6.0-1
python-poetry 1.8.3-1
python-protobuf 28.2-3
python-psd-tools 1.10.0-1
python-pycryptodome 3.21.0-1
python-pycryptodomex 3.20.0-1
python-pynvim 0.5.0-3
python-pyopenssl 24.2.1-1
python-pyqt5 5.15.11-1
python-pysocks 1.7.1-9
python-pystache 0.6.5-2
python-pywayland 0.4.18-1
python-pyxdg 0.28-3
python-requests-toolbelt 1.0.0-2
python-sniffio 1.3.1-3
python-trio 0.26.2-1
python-ujson 5.10.0-1
qbittorrent 5.0.0-1
qpwgraph 0.7.8-1
qt5-graphicaleffects 5.15.15-1
qt5-quickcontrols2 5.15.15+kde+r5-1
qt5-styleplugins 5.0.0.20170311-35
qt5-wayland 5.15.15+kde+r60-1
qt5ct 1.8-2
qt6-wayland 6.8.0-1
qt6-webengine 6.8.0-5
qt6ct 0.9-11
quickmedia-git r1434.144b510-2
radare2 5.9.4-1
ranger 1.9.3-11
rclone 1.68.1-1
reapack 1.2.4.6-1
reaper 7.25-1
rebuild-detector 4.4.4-1
reflector 2023-2
retroarch 1.19.1-2
retroarch-assets-glui 1:516-1
retroarch-assets-ozone 1:516-1
retroarch-assets-xmb 1:516-1
ripgrep 14.1.1-1
rofi 1.7.5-3
rofimoji 6.5.0-1
rpcs3-bin 0.0.33_17046_3e516df2-1
rustup 1.27.1-1
rye 0.41.0-1
sad 0.4.31-1
safeeyes 2.2.2-3
samba 2:4.21.1-1
sassc 3.6.2-5
sccache 0.8.2-1
sd 1.0.0-1
sddm 0.21.0-4
sddm-conf-git 0.2.0.r8.g162bdd5-1
sddm-theme-tokyo-night r6.320c8e7-1
seahorse 1:47.0.1-2
showmethekey 1.14.0-1
skim 0.10.4-3
slides-bin 0.9.0-1
slurp 1.5.0-1
socat 1.8.0.1-1
sockstat 0.4.1-1
spdlog 1.14.1-3
spotify-launcher 0.6.0-1
spotify-tui 0.25.0-4
spotifyd 0.3.5-1
sq-bin 0.48.3-1
sqlx-cli 0.8.0-1
ssh-audit 3.3.0-1
sshfs 3.7.3-2
starship 1.21.1-1
steam 1.0.0.81-2
strace 6.11-1
swappy 1.5.1-2
sway 1:1.9-5
sway-audio-idle-inhibit-git 0.1.2.r46.e660559-1
swayidle 1.8.0-2
swaylock 1.8.0-1
swaync 0.10.1-3
swftools 0.9.2-7
sxhkd 0.6.2-4
syncthing 1.28.0-1
syncthing-appmenu 1.2-1
sysstat 12.7.6-1
systemd-boot-pacman-hook 3-1
systemd-resolvconf 256.7-1
tcpdump 4.99.5-1
tealdeer 1.7.0-1
terraform 1.9.8-1
texinfo 7.1.1-1
tgpt-bin 2.8.0-1
thermald 2.5.8-1
thunderbird 128.3.1-1
tmux 3.5_a-1
tmux-plugin-manager 3.1.0-1
tokei 12.1.2-2
topgrade-bin 16.0.1-1
torbrowser-launcher 0.3.7-2
traceroute 2.1.5-1
transmission-cli 4.0.6-2
trash-cli 0.24.5.26-1
tree 2.1.3-1
tree-sitter-cli 0.24.3-1
ts-node 10.9.2-1
ttf-3270-nerd 3.2.1-2
ttf-agave-nerd 3.2.1-2
ttf-anonymouspro-nerd 3.2.1-2
ttf-apple-emoji 17.4-3
ttf-arimo-nerd 3.2.1-2
ttf-bigblueterminal-nerd 3.2.1-2
ttf-bitstream-vera-mono-nerd 3.2.1-2
ttf-cascadia-code-nerd 3.2.1-2
ttf-cousine-nerd 3.2.1-2
ttf-daddytime-mono-nerd 3.2.1-2
ttf-dejavu-nerd 3.2.1-2
ttf-envy-code-r preview7-7
ttf-fantasque-nerd 3.2.1-2
ttf-fantasque-sans-mono 1.8.0-3
ttf-firacode-nerd 3.2.1-2
ttf-go-nerd 3.2.1-2
ttf-google-fonts-typewolf 20240105-1
ttf-hack-nerd 3.2.1-2
ttf-heavydata-nerd 3.2.1-2
ttf-iawriter-nerd 3.2.1-2
